"","year","plot","CTI","CPI","ColdTI","hotTI","Site"
"1",1983,1,15.7111067527156,610.675271240666,4.10520400144421,30.2260303952231,"Jasper"
"2",1983,2,15.6251422621077,632.362874616413,4.1094700494262,30.0451369175447,"Jasper"
"3",1983,3,15.7713483192167,630.648081450763,4.2921527274318,30.0744902000258,"Jasper"
"4",1984,1,15.5588476689847,642.214292112463,4.02381537733922,30.0474224266344,"Jasper"
"5",1984,2,15.6775268126127,632.13676820506,4.31302727975302,29.8157570028231,"Jasper"
"6",1984,3,15.5500457702462,652.542944400322,3.95964320348901,30.1255960797588,"Jasper"
"7",1985,1,15.5770196552651,623.49203959922,3.85895604433263,30.3299349666377,"Jasper"
"8",1985,2,15.7565304759002,626.794897174604,4.31159533038602,30.0161618592209,"Jasper"
"9",1985,3,15.7312453481615,603.000103151035,3.95526146665475,30.5405507980705,"Jasper"
"10",1986,1,15.5646736951375,618.365561077442,3.79418733031373,30.4054793440554,"Jasper"
"11",1986,2,15.7076537729197,635.223119043735,4.22933705835038,30.0467302979765,"Jasper"
"12",1986,3,15.7997092801333,618.018470869616,4.0991038009745,30.4597665321502,"Jasper"
"13",1987,1,15.5681012965564,637.644820254931,3.91216888130602,30.2342991157995,"Jasper"
"14",1987,2,15.7320062708457,639.817163981486,4.29989762076296,29.9944150521944,"Jasper"
"15",1987,3,15.6688837044234,665.2776616747,4.20898339282984,29.9967115611182,"Jasper"
"16",1988,1,15.9909013304795,612.983910056317,4.55437860253323,30.143110631813,"Jasper"
"17",1988,2,16.0643245363634,610.480123808677,4.71373886738473,30.0497777768254,"Jasper"
"18",1988,3,15.9339626974149,627.082109617677,4.51646855142261,30.0816032225941,"Jasper"
"19",1989,1,15.9348306340982,619.028272778026,4.44820761780309,30.1881282673159,"Jasper"
"20",1989,2,15.8287022641971,653.286880568749,4.52416052814415,29.8307923537142,"Jasper"
"21",1989,3,15.6977952855463,651.504298116814,4.19237955624164,30.0669342716417,"Jasper"
"22",1990,1,15.8641762923354,629.121888350148,4.39156413252068,30.1267332469633,"Jasper"
"23",1990,2,15.9116652567157,639.511193425371,4.57662310000317,29.938597089262,"Jasper"
"24",1990,3,15.8944750353803,622.930197889454,4.42221250162977,30.1363979527375,"Jasper"
"25",1991,1,15.5832229082574,646.679701881117,3.99157999251367,30.133168928947,"Jasper"
"26",1991,2,15.8450418264292,632.684763221379,4.32663243096673,30.1970651409185,"Jasper"
"27",1991,3,15.2199306076074,674.52785089749,3.43220369621166,30.2234555862513,"Jasper"
"28",1992,1,16.1789209920586,528.595764813546,4.3309201920103,30.9047111621896,"Jasper"
"29",1992,2,16.3005682215469,530.021959065225,4.5518340917827,30.8263124488804,"Jasper"
"30",1992,3,15.5605040657587,629.718351124944,3.81421159831207,30.3605656831595,"Jasper"
"31",1993,1,16.3717558958703,496.036465774333,4.39408310426874,31.2343090758211,"Jasper"
"32",1993,2,16.5029612105978,486.286903263818,4.58927452133678,31.2037137606271,"Jasper"
"33",1993,3,15.7090548078786,588.304810281744,3.84053684146837,30.6464792453214,"Jasper"
"34",1994,1,16.2202351759544,514.48846791712,4.3073453087478,31.0227484511638,"Jasper"
"35",1994,2,16.0493620620974,574.162478400279,4.422514327566,30.4566730625546,"Jasper"
"36",1994,3,15.7063042827808,581.809214123575,3.76825405194819,30.7786877184396,"Jasper"
"37",1995,1,15.8554062908892,556.499335895732,3.93468020130655,30.7938693023186,"Jasper"
"38",1995,2,15.6194158751477,650.450230848013,4.15679156459213,29.9287192409926,"Jasper"
"39",1995,3,15.8434318857455,582.793811958414,4.01129659274459,30.6855922153026,"Jasper"
"40",1996,1,15.6400576477584,605.760732695421,3.80921307522525,30.5531059169641,"Jasper"
"41",1996,2,15.2966967716272,741.093967781956,3.91714645297195,29.6831224791395,"Jasper"
"42",1996,3,15.4742556768781,669.948779299942,3.7155721417736,30.3798835454378,"Jasper"
"43",1997,1,15.6492112727458,625.107195808934,3.99573563672922,30.2504557723424,"Jasper"
"44",1997,2,15.5280883005807,689.515381952114,4.1734469491617,29.7339934107663,"Jasper"
"45",1997,3,15.5179687913594,674.185799483166,3.94484949771289,30.0918488336995,"Jasper"
"46",1998,1,15.5166073341367,652.282041394372,4.02824925674707,29.8726210640268,"Jasper"
"47",1998,2,15.6909525672636,646.596196626113,4.38156770499165,29.699668425294,"Jasper"
"48",1998,3,15.5181222028654,652.704949765254,3.99374898767024,29.9442263292945,"Jasper"
"49",1999,1,15.3005153901679,684.727729256965,3.70728170150944,29.9691487079844,"Jasper"
"50",1999,2,15.4462277690292,700.203360779319,4.16216804898574,29.5492067025565,"Jasper"
"51",1999,3,15.2593787123544,708.118369598386,3.77068012295964,29.777738740631,"Jasper"
"52",2000,1,15.7431244043255,601.386290758403,3.86303424053285,30.70724564427,"Jasper"
"53",2000,2,15.7639805479294,639.932168403351,4.3170203381438,30.0236771583259,"Jasper"
"54",2000,3,15.4826657405214,643.555458676908,3.85985729217044,30.0999793959898,"Jasper"
"55",2001,1,15.9308272578488,587.604859518982,4.30419881943998,30.3940300101276,"Jasper"
"56",2001,2,15.6305220095955,666.642701072278,4.30595951769749,29.7281544737783,"Jasper"
"57",2001,3,15.5628117897156,643.474028653372,4.09627474650578,29.8767171447353,"Jasper"
"58",2002,1,15.9862988120201,577.123765242017,4.3099559966145,30.5124915866211,"Jasper"
"59",2002,2,15.6682076796754,634.840630789884,4.22742677410807,29.9167865027854,"Jasper"
"60",2002,3,15.6506732251827,613.935256007105,4.0292420347041,30.1940622320425,"Jasper"
"61",2003,1,15.9240263618938,591.855042073727,4.20286763181264,30.5716551141173,"Jasper"
"62",2003,2,15.5638407615007,678.646343171355,4.18385755534937,29.8001818649664,"Jasper"
"63",2003,3,15.7290892205447,646.977729525711,4.30624200983378,29.9694585992174,"Jasper"
"64",2004,1,15.9542969704471,579.238222675287,4.12948163198157,30.7702663196008,"Jasper"
"65",2004,2,15.7119794278954,640.320923126366,4.13888204891123,30.2130655823643,"Jasper"
"66",2004,3,15.7580209615814,643.043236655633,4.28677634414723,30.0794007794252,"Jasper"
"67",2005,1,15.9381901227045,587.988260259068,4.05643823726112,30.8650698053279,"Jasper"
"68",2005,2,15.8085754306208,619.68327728915,4.18978399040105,30.3367207033464,"Jasper"
"69",2005,3,16.0497718616508,565.099475506063,4.35972939263129,30.5587133369759,"Jasper"
"70",2006,1,15.8809228977139,584.519491735321,3.91486173209623,30.9483616692706,"Jasper"
"71",2006,2,15.699526998416,626.420159507319,4.11963165875378,30.1807349830425,"Jasper"
"72",2006,3,15.9047005562884,599.20320894074,4.24077003598466,30.4760139289246,"Jasper"
"73",2007,1,15.8641923076222,580.290159954267,3.87602610747878,30.9664930760702,"Jasper"
"74",2007,2,15.7249587219415,620.027398904058,4.02581283786579,30.418776311154,"Jasper"
"75",2007,3,15.7165618703637,628.915482486099,4.06208429471208,30.3441862528454,"Jasper"
"76",2008,1,15.779418174654,610.594975538305,4.05590305446022,30.440946723998,"Jasper"
"77",2008,2,15.7343877108119,623.109700539716,4.18964050482239,30.1343498086022,"Jasper"
"78",2008,3,15.7305096695196,634.923653362118,4.19210210929605,30.1421204563396,"Jasper"
"79",2009,1,15.9393039184741,583.624300379699,4.29038280148103,30.4090664722135,"Jasper"
"80",2009,2,15.6653042377051,623.534031147652,4.11833220883596,30.0793903559863,"Jasper"
"81",2009,3,15.969656424072,605.398206736067,4.50272347592501,30.1671317477683,"Jasper"
"82",2010,1,16.2459705137483,544.921874096111,4.59801348953562,30.6115671164722,"Jasper"
"83",2010,2,16.0084759037019,588.548756876633,4.59735042351123,30.0579875451453,"Jasper"
"84",2010,3,15.9838063551368,602.19394984358,4.51153584186954,30.1822309716822,"Jasper"
"85",2011,1,16.1805743728515,527.421730691087,4.40295168361527,30.7387275447999,"Jasper"
"86",2011,2,16.1430864102157,548.796719875021,4.53096956277905,30.4545692086746,"Jasper"
"87",2011,3,15.9320512983664,592.221046818148,4.33791031662379,30.330213911315,"Jasper"
"88",2012,1,16.346898584742,514.495128232495,4.54547254683936,30.917070624462,"Jasper"
"89",2012,2,16.2787941100809,521.26889217732,4.5359566239504,30.7654762096063,"Jasper"
"90",2012,3,16.1024186832528,552.131723925401,4.35780653173066,30.6824679205046,"Jasper"
"91",2013,1,16.3998691865633,509.34079575213,4.61666426019449,30.9141610864857,"Jasper"
"92",2013,2,16.1507709907018,527.574815509534,4.49160342624694,30.503903382603,"Jasper"
"93",2013,3,16.0560437739949,543.447565950008,4.13323318491818,30.956714159098,"Jasper"
"94",2014,1,15.8712546373284,584.608209744025,4.25465637030774,30.3319458371825,"Jasper"
"95",2014,2,15.8020874888751,576.377020925353,4.43119358473363,29.7784317351629,"Jasper"
"96",2014,3,15.8363771495759,586.343590562614,4.01769455678394,30.6957592971825,"Jasper"
"97",2015,1,16.0006923197467,567.366545216612,4.46090970827439,30.2377069054842,"Jasper"
"98",2015,2,15.8856584629207,578.684334533544,4.41915900821118,30.0364437615084,"Jasper"
"99",2015,3,15.8512188625534,579.700086758244,3.99343528384573,30.7521244295117,"Jasper"
